exchange,stock_symbol,date,stock_price_close,stock_gain_loss_dollar,stock_gain_loss_percent,dollar_volume,stock_volume
NASDAQ,AAON,01/10/2009,19.27,-0.81,-0.040338645,1422126,73800
NASDAQ,AAON,02/10/2009,19.05,-0.22,-0.01141671,1857375,97500
NASDAQ,AAON,05/10/2009,18.84,-0.21,-0.011023622,1780380,94500
NASDAQ,AAON,06/10/2009,18.97,0.13,0.006900212,1684536,88800
NASDAQ,AAON,07/10/2009,18.95,-0.02,-0.001054296,4900470,258600
NASDAQ,AAON,08/10/2009,18.44,-0.51,-0.026912929,2249680,122000
NASDAQ,AAON,09/10/2009,18.7,0.26,0.014099783,2212210,118300
NASDAQ,AAON,12/10/2009,18.71,0.01,0.000534759,1160020,62000
NASDAQ,AAON,13/10/2009,18.34,-0.37,-0.019775521,1203104,65600
NASDAQ,AAON,14/10/2009,18.78,0.44,0.023991276,1143702,60900
NASDAQ,AAON,15/10/2009,18.8,0.02,0.001064963,973840,51800
NASDAQ,AAON,16/10/2009,18.81,0.01,0.000531915,961191,51100
NASDAQ,AAON,19/10/2009,18.91,0.1,0.005316321,2064972,109200
NASDAQ,AAON,20/10/2009,18.84,-0.07,-0.003701745,1299960,69000
NASDAQ,AAON,21/10/2009,18.94,0.1,0.005307856,2142114,113100
NASDAQ,AAON,22/10/2009,19.24,0.3,0.015839493,1181336,61400
NASDAQ,AAON,23/10/2009,18.97,-0.27,-0.014033264,1337385,70500
NASDAQ,AAON,26/10/2009,18.93,-0.04,-0.002108593,1291026,68200
NASDAQ,AAON,27/10/2009,19.01,0.08,0.004226096,1138699,59900
NASDAQ,AAON,28/10/2009,18.35,-0.66,-0.034718569,992735,54100
NASDAQ,AAON,29/10/2009,18.5,0.15,0.008174387,1054500,57000
NASDAQ,AAON,30/10/2009,18.01,-0.49,-0.026486486,1626303,90300
NASDAQ,AAON,02/11/2009,18.66,0.65,0.036091061,1796958,96300
NASDAQ,AAON,03/11/2009,19.01,0.35,0.018756699,1760326,92600
NASDAQ,AAON,04/11/2009,18.82,-0.19,-0.00999474,4688062,249100
NASDAQ,AAON,05/11/2009,19.2,0.38,0.020191286,1282560,66800
NASDAQ,AAON,06/11/2009,19.42,0.22,0.011458333,1734206,89300
NASDAQ,AAON,09/11/2009,19.85,0.43,0.022142122,1272385,64100
NASDAQ,AAON,10/11/2009,19.98,0.13,0.006549118,1486512,74400
NASDAQ,AAON,11/11/2009,20.07,0.09,0.004504505,820863,40900
NASDAQ,AAON,12/11/2009,19.77,-0.3,-0.014947683,1415532,71600
NASDAQ,AAON,13/11/2009,19.83,0.06,0.003034901,1562604,78800
NASDAQ,AAON,16/11/2009,20.52,0.69,0.034795764,1932984,94200
NASDAQ,AAON,17/11/2009,20.38,-0.14,-0.006822612,1536652,75400
NASDAQ,AAON,18/11/2009,20.13,-0.25,-0.012266928,1169553,58100
NASDAQ,AAON,19/11/2009,19.67,-0.46,-0.022851465,1510656,76800
NASDAQ,AAON,20/11/2009,19.59,-0.08,-0.004067107,1157769,59100
NASDAQ,AAON,23/11/2009,19.71,0.12,0.006125574,1415178,71800
NASDAQ,AAON,24/11/2009,19.58,-0.13,-0.006595637,558030,28500
NASDAQ,AAON,25/11/2009,19.36,-0.22,-0.011235955,861520,44500
NASDAQ,AAON,27/11/2009,19.01,-0.35,-0.018078512,482854,25400
NASDAQ,AAON,30/11/2009,18.94,-0.07,-0.003682272,2689480,142000
NASDAQ,AAON,01/12/2009,19.05,0.11,0.005807814,3600450,189000
NASDAQ,AAON,02/12/2009,19.63,0.58,0.030446194,2575456,131200
NASDAQ,AAON,03/12/2009,19.33,-0.3,-0.015282731,1455549,75300
NASDAQ,AAON,04/12/2009,19.26,-0.07,-0.003621314,2268828,117800
NASDAQ,AAON,07/12/2009,19.13,-0.13,-0.00674974,946935,49500
NASDAQ,AAON,08/12/2009,18.78,-0.35,-0.01829587,1724004,91800
NASDAQ,AAON,09/12/2009,18.72,-0.06,-0.003194888,2223936,118800
NASDAQ,AAON,10/12/2009,18.61,-0.11,-0.005876068,1529742,82200
NASDAQ,AAON,11/12/2009,19.02,0.41,0.022031166,823566,43300
NASDAQ,AAON,14/12/2009,19.2,0.18,0.009463722,1265280,65900
NASDAQ,AAON,15/12/2009,19.03,-0.17,-0.008854167,1044747,54900
NASDAQ,AAON,16/12/2009,19.23,0.2,0.010509721,1109571,57700
NASDAQ,AAON,17/12/2009,19.5,0.27,0.014040562,1476150,75700
NASDAQ,AAON,18/12/2009,19.81,0.31,0.015897436,3476655,175500
